"id","grade","cal_year","measure","score","time","program_year","time_cont","student_year","domain_type","grade_diff","start_grade_diff","fall_score","spring_score","raw_growth","start_grade_diff_c","time_c"
"1020810",9,2009,"lwid",8,1,1,1,"1020810_2009","reading",-1,-1,8,9.7,1.7,-0.581214452994312,-1.04895489548955
"1020810",9,2009,"wa",12.9,1,1,1,"1020810_2009","reading",3.9,3.9,12.9,12.9,0,4.31878554700569,-1.04895489548955
"1020810",9,2009,"rf",5.4,1,1,1,"1020810_2009","reading",-3.6,-3.6,5.4,4.3,-1.1,-3.18121445299431,-1.04895489548955
"1020810",9,2009,"cap",2.8,1,1,1,"1020810_2009","writing",-6.2,-6.2,2.8,11.9,9.1,-5.78121445299431,-1.04895489548955
"1020810",9,2009,"punc",2.9,1,1,1,"1020810_2009","writing",-6.1,-6.1,2.9,5.9,3,-5.68121445299431,-1.04895489548955
"1020810",9,2009,"ue",10.8,1,1,1,"1020810_2009","writing",1.8,1.8,10.8,10.8,0,2.21878554700569,-1.04895489548955
"1020810",9,2009,"lang",5.5,1,1,1,"1020810_2009","composite",-3.5,-3.5,5.5,9,3.5,-3.08121445299431,-1.04895489548955
"1020810",9,2009,"wf",2.8,1,1,1,"1020810_2009","writing",-6.2,-6.2,2.8,4.9,2.1,-5.78121445299431,-1.04895489548955
"1020810",9,2009,"ws",3,1,1,1,"1020810_2009","writing",-6,-6,3,7,4,-5.58121445299431,-1.04895489548955
"1020810",9,2009,"ce",6.8,1,1,1,"1020810_2009","math",-2.2,-2.2,6.8,8,1.2,-1.78121445299431,-1.04895489548955
"1020810",9,2009,"psdi",2.8,1,1,1,"1020810_2009","math",-6.2,-6.2,2.8,12.9,10.1,-5.78121445299431,-1.04895489548955
"1020810",9,2009,"comp",4.7,1,1,1,"1020810_2009","composite",-4.3,-4.3,4.7,9.1,4.4,-3.88121445299431,-1.04895489548955
"1020810",9,2009,"maths",NA,1,1,1,"1020810_2009","other",NA,NA,NA,NA,NA,NA,-1.04895489548955
"1020810",9,2009,"calc",5.3,1,1,1,"1020810_2009","math",-3.7,-3.7,5.3,7.3,2,-3.28121445299431,-1.04895489548955
